"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"260710",21962,"HY328791","07/05/2015 05:00:00 PM","092XX S HARPER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","true",413,4,8,48,"01A",1188061,1844010,2015,"08/17/2015 03:03:40 PM",41.727043911,-87.586696743,"(41.727043911, -87.586696743)"
"260711",21963,"HY328164","07/05/2015 05:00:00 AM","011XX S FRANCISCO AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","true",1135,11,28,29,"01A",1157197,1894986,2015,"08/17/2015 03:03:40 PM",41.867608045,-87.698376638,"(41.867608045, -87.698376638)"
"260712",21964,"HY327794","07/05/2015 01:56:00 AM","011XX N HARDING AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",1112,11,27,23,"01A",1149846,1907257,2015,"08/17/2015 03:03:40 PM",41.901427038,-87.725044239,"(41.901427038, -87.725044239)"
"260713",21965,"HY330255","07/06/2015 05:32:00 PM","080XX S PAXTON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",414,4,8,46,"01A",1192255,1852165,2015,"08/17/2015 03:03:40 PM",41.749321118,-87.571069245,"(41.749321118, -87.571069245)"
"260714",21966,"HY330978","07/07/2015 10:51:00 AM","020XX E 79TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",414,4,8,43,"01A",1191097,1852990,2015,"08/17/2015 03:03:40 PM",41.751613063,-87.575285908,"(41.751613063, -87.575285908)"
"260715",21967,"HY332064","07/08/2015 03:09:00 AM","032XX W HURON ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1121,11,27,23,"01A",1154479,1904478,2015,"08/17/2015 03:03:40 PM",41.893709795,-87.708101045,"(41.893709795, -87.708101045)"
"260716",21968,"HY332515","07/08/2015 05:31:00 PM","080XX S DR MARTIN LUTHER KING JR DR","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false",623,6,6,44,"01A",1180294,1851885,2015,"08/17/2015 03:03:40 PM",41.748835188,-87.614907186,"(41.748835188, -87.614907186)"
"260717",21969,"HY334393","07/09/2015 09:58:00 PM","052XX S EMERALD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",935,9,3,61,"01A",1172191,1870111,2015,"08/24/2015 03:27:20 PM",41.799031303,-87.644064187,"(41.799031303, -87.644064187)"
"260718",21970,"HY334449","07/09/2015 10:24:00 PM","066XX S BLACKSTONE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",321,3,5,42,"01A",1187327,1861451,2015,"08/17/2015 03:03:40 PM",41.774921124,-87.588832615,"(41.774921124, -87.588832615)"
"260719",21971,"HY335770","07/10/2015 11:55:00 PM","075XX S LANGLEY AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",624,6,6,69,"01A",1182202,1855113,2015,"08/17/2015 03:03:40 PM",41.757649233,-87.607815887,"(41.757649233, -87.607815887)"
"260720",21972,"HY335913","07/11/2015 03:39:00 AM","068XX S LAFAYETTE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false",731,7,6,69,"01A",1177012,1859649,2015,"08/17/2015 03:03:40 PM",41.770215063,-87.626699872,"(41.770215063, -87.626699872)"
"260721",21973,"HY335962","07/11/2015 03:30:00 AM","002XX S LARAMIE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1522,15,29,25,"01A",1141751,1898753,2015,"08/17/2015 03:03:40 PM",41.878244691,-87.754988896,"(41.878244691, -87.754988896)"
"260722",21974,"HY336431","07/11/2015 02:38:00 PM","077XX S KINGSTON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",421,4,7,43,"01A",1194533,1854191,2015,"08/17/2015 03:03:40 PM",41.754824938,-87.562655411,"(41.754824938, -87.562655411)"
"260723",21975,"HY336496","07/11/2015 02:38:00 PM","009XX E 63RD ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",314,3,20,42,"01A",1183882,1863441,2015,"08/17/2015 03:03:40 PM",41.78046301,-87.601399238,"(41.78046301, -87.601399238)"
"260724",21976,"HY337858","07/12/2015 05:21:00 PM","083XX S BAKER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARK PROPERTY","false","false",424,4,7,46,"01A",1198158,1849872,2015,"08/17/2015 03:03:40 PM",41.742883417,-87.549515319,"(41.742883417, -87.549515319)"
