,X,School_Boundary,School_ID,School_Name_Tag,Primary_Category,School_Type,Attendance_Boundaries,School_Longitude,School_Latitude,Totals_20th,ACT_Overall_Read,ACT_Overall_Math,ACT_Overall_Science,ACT_Overall_English,ACT_Overall_Composite,Bilingual_N,SpED_N,FreeReducedLunch_N,White_N,AfricanAmerican_N,PacificIslander_N,NativeAmerican_N,Hispanic_N,Multi_N,Asian_N,Hawaiian_N,SQRP_HS_Points,School_Longitude.1,School_Latitude.1,Crime_Count
38,38,46,610383,SOCIAL_JUSTICE_HS_2013,HS,Small,Y,-87.735299,41.833507,356,17.3,16.9,17.4,16.2,16.9,54,44,343,0,32,0,0,323,1,0,0,3.2,-87.735299,41.833507,840
39,39,46,610384,INFINITY_HS_2013,HS,Small,Y,-87.735278,41.836169,411,17,20.6,18.4,16.7,18.2,33,42,394,1,19,0,1,390,0,0,0,3.6,-87.735278,41.836169,840
40,40,46,610385,MULTICULTURAL_HS_2013,HS,Small,Y,-87.735283,41.835282,280,16.1,16.4,16.9,14.2,15.9,52,51,276,1,39,0,3,236,0,0,0,2.8,-87.735283,41.835282,840
41,41,46,610392,WORLD_LANGUAGE_HS_2013,HS,Small,Y,-87.735292,41.834397,353,16.3,17,16.9,17.2,16.8,64,47,342,1,36,0,1,315,0,0,0,3.8,-87.735292,41.834397,840
42,42,47,610543,SOLORIO_HS_2013,HS,Neighborhood,Y,-87.711059,41.795201,1068,17.1,18,17.8,16.3,17.3,139,143,1023,17,41,0,6,1002,1,1,0,3.3,-87.711059,41.795201,458
43,43,48,609709,GAGE_PARK_HS_2013,HS,Neighborhood,Y,-87.688954,41.791013,613,14.7,15.9,15.6,14,15,76,122,602,6,295,0,3,304,3,1,1,2.2,-87.688954,41.791013,1548
44,44,49,609741,HUBBARD_HS_2013,HS,Neighborhood,Y,-87.718014,41.780526,1615,16.8,18.4,17.6,16.6,17.3,184,191,1595,53,85,0,6,1413,1,57,0,3,-87.718014,41.780526,386
45,45,57,609674,CHICAGO_VOCATIONAL_HS_2013,HS,Career academy,Y,-87.573268,41.737174,990,14.9,15.3,15.1,13.5,14.7,12,233,968,0,974,0,0,12,4,0,0,2.4,-87.573268,41.737174,3004
46,1,1,609694,HANCOCK_HS_2014,HS,Neighborhood,Y,-87.72447,41.791464,920,17.2,16.8,17.8,16.8,17.2,90,91,891,16,10,0,5,876,6,6,0,3.5,-87.72447,41.791464,171
47,2,2,609691,NORTH-GRAND_HS_2014,HS,Neighborhood,Y,-87.735238,41.911674,923,16.1,17,17.1,15.2,16.3,198,147,900,8,88,0,4,819,2,2,0,3.2,-87.735238,41.911674,295
48,3,3,609695,AMUNDSEN_HS_2014,HS,Neighborhood,Y,-87.679484,41.975067,1132,17,17.2,17.3,16.3,17,138,159,1056,116,132,1,10,674,16,168,5,3.5,-87.679484,41.975067,402
49,4,4,609698,BOGAN_HS_2014,HS,Neighborhood,Y,-87.721097,41.749376,952,15.7,15.8,16.1,14.8,15.6,76,187,886,25,466,0,1,452,7,1,0,2.8,-87.721097,41.749376,757
50,5,8,609707,ROBESON_HS_2014,HS,Neighborhood,Y,-87.637153,41.769714,295,14,14.8,14.1,13.5,14.1,0,79,295,0,294,0,0,1,0,0,0,1.9,-87.637153,41.769714,3317
51,6,9,609708,FOREMAN_HS_2014,HS,Neighborhood,Y,-87.754167,41.939797,1276,15.4,16.9,16.9,14.5,15.9,229,221,1229,60,213,0,4,979,4,10,2,2.2,-87.754167,41.939797,1149
52,7,10,609710,HARLAN_HS_2014,HS,Neighborhood,Y,-87.620623,41.718372,760,15.3,15.6,15.8,15,15.4,1,149,714,0,747,0,1,6,3,1,0,1.9,-87.620623,41.718372,2166
53,8,11,609723,MARSHALL_HS_2014,HS,Neighborhood,Y,-87.70805,41.878444,514,14.2,15.4,14.9,13.9,14.6,1,135,431,0,507,0,0,5,1,1,0,2.5,-87.70805,41.878444,2349
54,9,11,610389,ORR_HS_2014,HS,Neighborhood,Y,-87.726166,41.894449,458,14.6,15.8,14.8,13.8,14.8,15,100,435,1,394,0,0,63,0,0,0,1.6,-87.726166,41.894449,2349
